"Story","Title","Result","Date","Stability","Duration (s)"
"Product CRUD test","This test will create a new product","SUCCESS","2020-05-30T11:07:31.897+01:00[Europe/London]","0.0","37.17"
"Product CRUD test","Update the price of product and verify the updated information","SUCCESS","2020-05-30T11:08:09.198+01:00[Europe/London]","0.0","1.22"
"Product CRUD test","Delete the product and verify if the product is deleted","SUCCESS","2020-05-30T11:08:10.427+01:00[Europe/London]","0.0","0.63"
"Stores CRUD test","This test will create a new store","SUCCESS","2020-05-30T11:08:17.392+01:00[Europe/London]","0.0","1.07"
"Stores CRUD test","Update the product name and verify the updated information","SUCCESS","2020-05-30T11:08:18.461+01:00[Europe/London]","0.0","0.63"
"Stores CRUD test","Delete the product and verify if the product is deleted","SUCCESS","2020-05-30T11:08:19.111+01:00[Europe/London]","0.0","0.63"
"Product test","Verify 'Not found' error message with invalid endpoint","SUCCESS","2020-05-30T11:08:20.289+01:00[Europe/London]","0.0","0.71"
"Product test","This test will get a specific product by Id","SUCCESS","2020-05-30T11:08:20.999+01:00[Europe/London]","0.0","38.85"
"Product test","This test will get all products information","SUCCESS","2020-05-30T11:08:59.856+01:00[Europe/London]","0.0","0.64"
"Product test","This test will delete the product by id","SUCCESS","2020-05-30T11:09:00.504+01:00[Europe/London]","0.0","0.96"
"Product test","This test will create a new product","SUCCESS","2020-05-30T11:09:01.463+01:00[Europe/London]","0.0","0.35"
"Product test","This test will update a name of an existing product","SUCCESS","2020-05-30T11:09:01.818+01:00[Europe/London]","0.0","2.53"
"Stores test","Verify 'Not found' error message with invalid endpoint","SUCCESS","2020-05-30T11:09:05.120+01:00[Europe/London]","0.0","0.29"
"Stores test","This test will delete the store using storeId","SUCCESS","2020-05-30T11:09:05.476+01:00[Europe/London]","0.0","1.83"
"Stores test","This test will get all stores","SUCCESS","2020-05-30T11:09:07.305+01:00[Europe/London]","0.0","0.13"
"Stores test","This test will update a name of an existing store","SUCCESS","2020-05-30T11:09:07.444+01:00[Europe/London]","0.0","0.79"
"Stores test","This test will create a new product","SUCCESS","2020-05-30T11:09:08.237+01:00[Europe/London]","0.0","0.34"
"Stores test","This test will get a specific product by Id","SUCCESS","2020-05-30T11:09:08.580+01:00[Europe/London]","0.0","0.42"
